SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2020299N11144,2020,99,GONI,2020-10-29 00:00:00,16.6,136.9,995.0
2020299N11144,2020,99,GONI,2020-10-29 06:00:00,16.7,135.8,982.0
2020299N11144,2020,99,GONI,2020-10-29 12:00:00,16.6,134.6,975.0
2020299N11144,2020,99,GONI,2020-10-29 18:00:00,16.4,133.4,948.0
2020299N11144,2020,99,GONI,2020-10-30 00:00:00,16.3,132.7,934.0
2020299N11144,2020,99,GONI,2020-10-30 06:00:00,16.4,131.6,922.0
2020299N11144,2020,99,GONI,2020-10-30 12:00:00,16.1,130.9,913.0
2020299N11144,2020,99,GONI,2020-10-30 18:00:00,15.9,129.9,904.0
2020299N11144,2020,99,GONI,2020-10-31 00:00:00,15.3,128.8,895.0
2020299N11144,2020,99,GONI,2020-10-31 06:00:00,14.7,127.6,897.0
2020299N11144,2020,99,GONI,2020-10-31 12:00:00,14.2,126.5,892.0
2020299N11144,2020,99,GONI,2020-10-31 18:00:00,13.7,125.0,884.0
2020299N11144,2020,99,GONI,2020-11-01 00:00:00,13.5,123.6,932.0
2020299N11144,2020,99,GONI,2020-11-01 06:00:00,13.7,122.2,980.0
2020299N11144,2020,99,GONI,2020-11-01 12:00:00,14.1,121.2,990.0
2020299N11144,2020,99,GONI,2020-11-01 18:00:00,14.5,119.8,994.0
