SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2021248N12141,2021,72,CHANTHU,2021-09-06 12:00:00,14.7,138.0,999.0
2021248N12141,2021,72,CHANTHU,2021-09-06 18:00:00,15.2,137.4,997.0
2021248N12141,2021,72,CHANTHU,2021-09-07 00:00:00,15.6,136.6,995.0
2021248N12141,2021,72,CHANTHU,2021-09-07 06:00:00,16.1,135.7,985.0
2021248N12141,2021,72,CHANTHU,2021-09-07 12:00:00,16.3,134.6,966.0
2021248N12141,2021,72,CHANTHU,2021-09-07 18:00:00,16.3,133.5,937.0
2021248N12141,2021,72,CHANTHU,2021-09-08 00:00:00,16.0,132.3,932.0
2021248N12141,2021,72,CHANTHU,2021-09-08 06:00:00,15.7,131.3,922.0
2021248N12141,2021,72,CHANTHU,2021-09-08 12:00:00,15.5,130.3,935.0
2021248N12141,2021,72,CHANTHU,2021-09-08 18:00:00,15.4,129.1,929.0
2021248N12141,2021,72,CHANTHU,2021-09-09 00:00:00,15.5,128.0,924.0
2021248N12141,2021,72,CHANTHU,2021-09-09 06:00:00,15.8,127.1,932.0
2021248N12141,2021,72,CHANTHU,2021-09-09 12:00:00,16.1,125.9,942.0
2021248N12141,2021,72,CHANTHU,2021-09-09 18:00:00,16.6,124.9,936.0
2021248N12141,2021,72,CHANTHU,2021-09-10 00:00:00,17.1,124.1,928.0
2021248N12141,2021,72,CHANTHU,2021-09-10 06:00:00,17.8,123.5,916.0
2021248N12141,2021,72,CHANTHU,2021-09-10 12:00:00,18.7,122.9,911.0
2021248N12141,2021,72,CHANTHU,2021-09-10 18:00:00,19.5,122.3,902.0
2021248N12141,2021,72,CHANTHU,2021-09-11 00:00:00,20.3,121.9,915.0
2021248N12141,2021,72,CHANTHU,2021-09-11 06:00:00,21.0,121.5,925.0
2021248N12141,2021,72,CHANTHU,2021-09-11 12:00:00,21.8,121.8,945.0
2021248N12141,2021,72,CHANTHU,2021-09-11 18:00:00,22.8,122.0,944.0
2021248N12141,2021,72,CHANTHU,2021-09-12 00:00:00,23.8,122.3,948.0
2021248N12141,2021,72,CHANTHU,2021-09-12 06:00:00,25.2,122.3,943.0
2021248N12141,2021,72,CHANTHU,2021-09-12 12:00:00,26.3,122.7,949.0
2021248N12141,2021,72,CHANTHU,2021-09-12 18:00:00,27.6,123.1,953.0
2021248N12141,2021,72,CHANTHU,2021-09-13 00:00:00,29.1,123.6,959.0
2021248N12141,2021,72,CHANTHU,2021-09-13 06:00:00,30.7,123.4,968.0
2021248N12141,2021,72,CHANTHU,2021-09-13 12:00:00,31.0,123.3,975.0
2021248N12141,2021,72,CHANTHU,2021-09-13 18:00:00,31.4,123.5,980.0
2021248N12141,2021,72,CHANTHU,2021-09-14 00:00:00,31.3,123.8,990.0
2021248N12141,2021,72,CHANTHU,2021-09-14 06:00:00,30.9,124.3,991.0
