SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2023271N14144,2023,65,KOINU,2023-10-02 12:00:00,19.9,126.2,939.0
2023271N14144,2023,65,KOINU,2023-10-02 18:00:00,20.2,125.5,946.0
2023271N14144,2023,65,KOINU,2023-10-03 00:00:00,20.5,125.1,949.0
2023271N14144,2023,65,KOINU,2023-10-03 06:00:00,21.2,124.9,955.0
2023271N14144,2023,65,KOINU,2023-10-03 12:00:00,21.7,124.6,957.0
2023271N14144,2023,65,KOINU,2023-10-03 18:00:00,22.0,124.1,963.0
2023271N14144,2023,65,KOINU,2023-10-04 00:00:00,22.2,123.5,948.0
2023271N14144,2023,65,KOINU,2023-10-04 06:00:00,22.1,122.7,940.0
2023271N14144,2023,65,KOINU,2023-10-04 12:00:00,22.0,122.0,936.0
2023271N14144,2023,65,KOINU,2023-10-04 18:00:00,21.9,121.3,936.0
2023271N14144,2023,65,KOINU,2023-10-05 00:00:00,22.0,120.8,947.0
2023271N14144,2023,65,KOINU,2023-10-05 06:00:00,22.1,120.0,961.0
2023271N14144,2023,65,KOINU,2023-10-05 12:00:00,22.0,119.1,971.0
2023271N14144,2023,65,KOINU,2023-10-05 18:00:00,21.9,118.4,979.0
2023271N14144,2023,65,KOINU,2023-10-06 00:00:00,21.8,117.7,965.0
2023271N14144,2023,65,KOINU,2023-10-06 06:00:00,21.7,116.9,956.0
2023271N14144,2023,65,KOINU,2023-10-06 12:00:00,21.4,116.3,957.0
2023271N14144,2023,65,KOINU,2023-10-06 18:00:00,21.2,115.7,953.0
2023271N14144,2023,65,KOINU,2023-10-07 00:00:00,21.1,115.4,958.0
2023271N14144,2023,65,KOINU,2023-10-07 06:00:00,21.2,115.2,953.0
2023271N14144,2023,65,KOINU,2023-10-07 12:00:00,21.3,115.1,957.0
2023271N14144,2023,65,KOINU,2023-10-07 18:00:00,21.4,114.9,968.0
2023271N14144,2023,65,KOINU,2023-10-08 00:00:00,21.5,114.6,977.0
2023271N14144,2023,65,KOINU,2023-10-08 06:00:00,21.6,114.3,973.0
