SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2009121N13124,2009,24,KUJIRA,2009-05-02 18:00:00,13.5,124.5,993.0,999.46435546875,13.75,124.83669214732453,1002.3495483398438,13.5,124.5
2009121N13124,2009,24,KUJIRA,2009-05-03 00:00:00,13.8,124.7,989.0,1001.9335327148438,14.0,124.83669214732453,1004.6068725585938,13.5,124.5
2009121N13124,2009,24,KUJIRA,2009-05-03 06:00:00,14.1,125.1,990.0,1000.0497436523438,14.5,125.58721334259901,1002.2008666992188,13.5,124.5
2009121N13124,2009,24,KUJIRA,2009-05-03 12:00:00,14.6,125.7,985.0,1001.0722045898438,15.0,126.08756080611535,1003.2865600585938,13.5,126.0
2009121N13124,2009,24,KUJIRA,2009-05-03 18:00:00,15.1,126.5,982.0,999.63427734375,15.5,126.33773453787352,1000.325439453125,14.5,127.0
2009121N13124,2009,24,KUJIRA,2009-05-04 00:00:00,15.7,127.4,974.0,1001.3555297851562,16.25,127.088255733148,1001.7019653320312,15.0,127.0
2009121N13124,2009,24,KUJIRA,2009-05-04 06:00:00,16.3,128.5,967.0,999.828369140625,16.5,127.8387769284225,998.5642700195312,15.0,128.0
2009121N13124,2009,24,KUJIRA,2009-05-04 12:00:00,16.8,129.6,944.0,1001.3368530273438,17.0,129.08964558721334,998.5010986328125,15.5,129.0
2009121N13124,2009,24,KUJIRA,2009-05-04 18:00:00,17.2,131.1,937.0,1000.9075927734375,17.25,130.34051424600415,994.9879150390625,15.5,130.0
2009121N13124,2009,24,KUJIRA,2009-05-05 00:00:00,17.6,132.7,937.0,1003.3200073242188,17.5,131.59138290479498,995.6757202148438,15.5,131.0
2009121N13124,2009,24,KUJIRA,2009-05-05 06:00:00,18.3,134.0,941.0,1001.6992797851562,18.25,133.092425295344,992.023193359375,16.0,132.0
2009121N13124,2009,24,KUJIRA,2009-05-05 12:00:00,18.8,135.4,944.0,1003.35107421875,18.25,134.09312022237663,993.4022827148438,16.0,133.0
2009121N13124,2009,24,KUJIRA,2009-05-05 18:00:00,19.5,136.9,944.0,1002.3994750976562,18.25,135.0938151494093,991.162841796875,16.5,134.0
2009121N13124,2009,24,KUJIRA,2009-05-06 00:00:00,20.4,138.3,944.0,1004.7876586914062,18.5,135.8443363446838,992.0445556640625,17.0,134.5
2009121N13124,2009,24,KUJIRA,2009-05-06 06:00:00,21.6,139.9,948.0,1003.4413452148438,18.75,136.84503127171646,988.2874755859375,17.5,135.5
2009121N13124,2009,24,KUJIRA,2009-05-06 12:00:00,22.8,141.3,959.0,1005.2190551757812,19.5,137.3453787352328,989.8438110351562,18.5,136.5
2009121N13124,2009,24,KUJIRA,2009-05-06 18:00:00,24.3,142.8,974.0,1004.2371826171875,20.25,137.84572619874913,987.4281005859375,19.5,137.5
2009121N13124,2009,24,KUJIRA,2009-05-07 00:00:00,26.0,143.8,982.0,1006.5391235351562,21.25,138.84642112578177,989.1433715820312,20.5,138.5
2009121N13124,2009,24,KUJIRA,2009-05-07 06:00:00,28.2,145.2,989.0,1005.4124145507812,22.0,139.59694232105628,988.1859130859375,22.0,139.5
2009121N13124,2009,24,KUJIRA,2009-05-07 12:00:00,30.2,147.4,993.0,1008.2401733398438,22.5,139.84711605281444,989.57763671875,23.0,141.0
2009121N13124,2009,24,KUJIRA,2009-05-07 18:00:00,32.4,149.5,993.0,1007.9788208007812,23.75,140.34746351633078,989.2879638671875,24.5,142.0
